,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
192607,0,152,203,152,101,102,101,102,101,50,51,51,51,51,50,51,51,51,50
192608,0,152,203,152,101,102,101,102,101,50,51,51,51,51,50,51,51,51,50
192609,0,152,203,151,101,102,101,102,100,50,51,51,51,51,50,51,51,50,50
192610,0,152,203,151,101,102,101,102,100,50,51,51,51,51,50,51,51,50,50
192611,0,152,203,151,101,102,101,102,100,50,51,51,51,51,50,51,51,50,50
192612,0,151,202,151,101,100,101,102,100,50,51,50,50,51,50,51,51,50,50
192701,0,150,202,151,100,100,101,102,100,49,51,50,50,51,50,51,51,50,50
192702,0,147,202,151,98,99,101,102,100,47,51,49,50,51,50,51,51,50,50
192703,0,147,202,151,98,99,101,102,100,47,51,49,50,51,50,51,51,50,50
192704,0,146,202,150,98,98,101,101,100,47,51,48,50,51,50,51,50,50,50
192705,0,146,202,150,98,98,101,101,100,47,51,48,50,51,50,51,50,50,50
192706,0,145,202,150,98,97,101,101,100,47,51,47,50,51,50,51,50,50,50
192707,0,163,218,163,108,109,109,109,109,54,54,55,54,55,54,55,54,54,55
192708,0,162,218,163,107,109,109,109,109,53,54,55,54,55,54,55,54,54,55
192709,0,162,218,163,107,109,109,109,109,53,54,55,54,55,54,55,54,54,55
192710,0,162,217,163,107,109,108,109,109,53,54,55,54,54,54,55,54,54,55
192711,0,160,216,162,105,109,107,109,108,51,54,55,54,53,54,55,54,54,54
192712,0,159,216,162,104,109,107,109,108,50,54,55,54,53,54,55,54,54,54
192801,0,159,215,162,104,108,107,109,108,50,54,55,53,53,54,55,54,54,54
192802,0,159,215,162,104,108,107,109,108,50,54,55,53,53,54,55,54,54,54
192803,0,159,213,161,104,108,105,108,108,50,54,55,53,52,53,55,53,54,54
192804,0,159,213,161,104,108,105,108,108,50,54,55,53,52,53,55,53,54,54
192805,0,159,213,160,104,108,105,107,108,50,54,55,53,52,53,55,52,54,54
192806,0,158,213,160,103,108,105,107,108,49,54,55,53,52,53,55,52,54,54
192807,0,171,226,171,114,114,112,114,114,57,57,57,57,57,55,57,57,57,57
192808,0,169,226,171,112,114,112,114,114,56,56,57,57,57,55,57,57,57,57
192809,0,169,226,171,112,114,112,114,114,56,56,57,57,57,55,57,57,57,57
192810,0,169,226,170,112,114,112,114,113,56,56,57,57,57,55,57,57,56,57
192811,0,169,226,170,112,114,112,114,113,56,56,57,57,57,55,57,57,56,57
192812,0,169,225,170,112,114,111,114,113,56,56,57,57,56,55,57,57,56,57
192901,0,167,223,170,111,112,110,114,113,55,56,56,56,55,55,57,57,56,57
192902,0,167,223,170,111,112,110,114,113,55,56,56,56,55,55,57,57,56,57
192903,0,167,222,169,111,112,109,113,113,55,56,56,56,54,55,57,56,56,57
192904,0,167,222,169,111,112,109,113,113,55,56,56,56,54,55,57,56,56,57
192905,0,167,221,168,111,112,108,112,113,55,56,56,56,54,54,57,55,56,57
192906,0,167,220,168,111,112,107,112,113,55,56,56,56,54,53,57,55,56,57
192907,0,194,258,194,129,130,128,130,129,65,64,65,65,64,64,65,65,63,66
192908,0,194,257,194,129,130,128,129,129,65,64,65,65,64,64,64,65,63,66
192909,0,194,257,193,129,130,128,129,128,65,64,65,65,64,64,64,65,62,66
192910,0,191,256,192,128,128,127,129,127,65,63,63,65,64,63,64,65,62,65
192911,0,190,256,192,127,128,127,129,127,65,62,63,65,64,63,64,65,62,65
192912,0,189,254,192,126,128,127,127,127,64,62,63,65,64,63,62,65,62,65
193001,0,188,253,192,126,127,126,127,127,64,62,62,65,63,63,62,65,62,65
193002,0,187,252,192,125,127,125,127,127,63,62,62,65,63,62,62,65,62,65
193003,0,186,251,192,124,127,125,126,127,63,61,62,65,63,62,61,65,62,65
193004,0,184,249,192,122,127,125,124,127,62,60,62,65,63,62,59,65,62,65
193005,0,184,249,192,122,127,125,124,127,62,60,62,65,63,62,59,65,62,65
193006,0,181,247,192,119,127,124,123,127,59,60,62,65,63,61,58,65,62,65
193007,0,208,279,209,138,140,139,140,139,69,69,70,70,70,69,70,70,69,70
193008,0,208,279,208,138,140,139,140,138,69,69,70,70,70,69,70,70,68,70
193009,0,207,279,208,138,139,139,140,138,69,69,69,70,70,69,70,70,68,70
193010,0,206,278,208,137,139,139,139,138,68,69,69,70,70,69,69,70,68,70
193011,0,203,278,208,134,139,139,139,138,65,69,69,70,70,69,69,70,68,70
193012,0,203,278,208,134,139,139,139,138,65,69,69,70,70,69,69,70,68,70
193101,0,201,276,208,132,138,138,139,138,63,69,69,69,69,69,69,70,68,70
193102,0,199,276,208,130,138,138,139,138,61,69,69,69,69,69,69,70,68,70
193103,0,198,276,207,129,138,138,138,138,60,69,69,69,69,69,69,69,68,70
