4 Jan 1999 - 27 July 2018,EUR/USD,USD/JPY,GBP/USD,AUD/USD,USD/CAD
1/4/1999,1.1812,112.15,1.6581,0.6182,1.5268
1/5/1999,1.176,111.15,1.6566,0.6217,1.5213
1/6/1999,1.1636,112.78,1.6547,0.6285,1.511
1/7/1999,1.1672,111.69,1.6495,0.634,1.5117
1/8/1999,1.1554,111.52,1.6405,0.6326,1.5145
1/11/1999,1.1534,108.83,1.6375,0.6395,1.5072
1/12/1999,1.1548,112.07,1.6308,0.6401,1.5095
1/13/1999,1.1698,113.46,1.6493,0.631,1.53
1/14/1999,1.1689,113.25,1.653,0.6315,1.5285
1/15/1999,1.1591,114.19,1.65,0.634,1.529
1/19/1999,1.161,113.76,1.655,0.6385,1.5302
1/20/1999,1.1575,113.45,1.6467,0.6398,1.5226
1/21/1999,1.1577,113.75,1.6516,0.6396,1.5155
1/22/1999,1.1582,114.65,1.656,0.6348,1.519
1/25/1999,1.1566,113.8,1.6563,0.6309,1.5153
1/26/1999,1.1577,114.03,1.6585,0.6305,1.52
1/27/1999,1.1481,115.62,1.6485,0.6273,1.5215
1/28/1999,1.1395,116.36,1.647,0.6258,1.5263
1/29/1999,1.1371,116,1.6457,0.6297,1.5095
2/1/1999,1.1303,115.09,1.641,0.6336,1.5085
2/2/1999,1.1328,112.12,1.643,0.6401,1.5124
2/3/1999,1.1339,112.46,1.6375,0.6415,1.5135
2/4/1999,1.1306,112.03,1.6395,0.649,1.493
2/5/1999,1.1283,113.14,1.637,0.6517,1.488
2/8/1999,1.1296,114.38,1.638,0.652,1.4875
2/9/1999,1.13,114.42,1.6355,0.6468,1.4935
2/10/1999,1.1331,114.45,1.629,0.6453,1.4943
2/11/1999,1.1303,114.7,1.6244,0.6495,1.4889
2/12/1999,1.1282,114.32,1.6311,0.6463,1.4925
2/16/1999,1.1189,118.08,1.6317,0.638,1.5
2/17/1999,1.123,119.03,1.6338,0.6336,1.4995
2/18/1999,1.1223,119.82,1.6338,0.635,1.4873
2/19/1999,1.1075,121,1.6255,0.6375,1.4905
2/22/1999,1.1037,120.35,1.6238,0.64,1.4972
2/23/1999,1.0993,121.45,1.6138,0.6392,1.4975
2/24/1999,1.0972,121.9,1.598,0.6315,1.499
2/25/1999,1.1068,119.26,1.606,0.6272,1.505
2/26/1999,1.0995,118.7,1.6027,0.6205,1.509
3/1/1999,1.0891,119.79,1.6058,0.6179,1.524
3/2/1999,1.0931,120.47,1.6135,0.6205,1.52
3/3/1999,1.0888,121.68,1.6134,0.623,1.5268
3/4/1999,1.0824,123.5,1.6065,0.6242,1.5255
3/5/1999,1.0843,122.57,1.6073,0.6285,1.5167
3/8/1999,1.0899,121.73,1.6085,0.6305,1.5145
3/9/1999,1.0873,121.4,1.6148,0.6357,1.5169
3/10/1999,1.0961,119.84,1.6267,0.635,1.524
3/11/1999,1.0932,119.57,1.627,0.6365,1.522
3/12/1999,1.0936,118.99,1.6335,0.636,1.5235
3/15/1999,1.093,117.7,1.6223,0.6315,1.5286
3/16/1999,1.0915,117.74,1.624,0.626,1.5285
3/17/1999,1.1015,118.15,1.6302,0.6273,1.5222
3/18/1999,1.099,117.53,1.629,0.6301,1.5186
3/19/1999,1.0923,117.05,1.6303,0.6304,1.5158
3/22/1999,1.0915,118.14,1.628,0.6336,1.5078
3/23/1999,1.0918,118.02,1.6372,0.6382,1.5065
3/24/1999,1.0921,117.35,1.641,0.6394,1.504
3/25/1999,1.0871,118.05,1.6314,0.6363,1.5105
3/26/1999,1.0743,120.3,1.6205,0.6352,1.5135
3/29/1999,1.0716,119.78,1.614,0.6323,1.5125
3/30/1999,1.0732,120.1,1.6115,0.627,1.5125
3/31/1999,1.0808,118.43,1.614,0.634,1.5092
4/1/1999,1.0782,120.19,1.6063,0.6354,1.5023
4/2/1999,1.0782,120.6,1.6023,0.6345,1.4968
4/5/1999,1.0706,122,1.6015,0.6315,1.4972
4/6/1999,1.0838,120.74,1.592,0.628,1.5035
4/7/1999,1.0784,121.34,1.5975,0.6272,1.5005
4/8/1999,1.0835,120.85,1.6083,0.6244,1.4985
4/9/1999,1.0786,121.09,1.6068,0.6296,1.5023
4/12/1999,1.0842,120.14,1.6127,0.6343,1.4945
4/13/1999,1.078,120.04,1.6135,0.6365,1.4898
4/14/1999,1.0779,118.89,1.6124,0.6378,1.4929
4/15/1999,1.0717,119.04,1.6103,0.6359,1.4908
4/16/1999,1.0688,117.86,1.6112,0.6466,1.4865
4/19/1999,1.0608,117.99,1.6075,0.6518,1.4833
4/20/1999,1.063,118.18,1.6135,0.6475,1.492
4/21/1999,1.0612,119.76,1.6074,0.6469,1.4895
4/22/1999,1.0598,119.84,1.6117,0.6507,1.481
4/23/1999,1.0634,119.26,1.617,0.6516,1.477
4/26/1999,1.059,119.13,1.6113,0.6488,1.4792
4/27/1999,1.0649,120.23,1.6177,0.6505,1.4788
4/28/1999,1.0616,119.13,1.6148,0.6539,1.477
4/29/1999,1.0591,119.26,1.6105,0.6583,1.467
4/30/1999,1.0564,119.43,1.6085,0.662,1.4578
5/3/1999,1.0571,120.14,1.6083,0.664,1.4512
5/4/1999,1.0593,120.94,1.621,0.6625,1.454
5/5/1999,1.0724,120.91,1.6337,0.6614,1.4558
5/6/1999,1.0779,120.77,1.6377,0.669,1.4555
5/7/1999,1.0781,120.78,1.635,0.6709,1.4585
5/10/1999,1.0787,120.68,1.63,0.6688,1.4605
5/11/1999,1.072,120.96,1.6215,0.6712,1.4538
5/12/1999,1.0666,120.86,1.6193,0.667,1.4608
5/13/1999,1.0626,121.67,1.619,0.6679,1.4598
5/14/1999,1.065,122.64,1.6175,0.6648,1.4635
5/17/1999,1.0672,123.27,1.6193,0.6662,1.4605
5/18/1999,1.0672,123.24,1.6203,0.6705,1.4607
5/19/1999,1.0641,124.45,1.6175,0.6633,1.4661
5/20/1999,1.063,124.15,1.6122,0.661,1.4658
5/21/1999,1.0577,123.9,1.602,0.6595,1.4595
5/24/1999,1.0593,123.57,1.5978,0.6595,1.4559
5/25/1999,1.0587,122.88,1.6021,0.658,1.4603
5/26/1999,1.0471,122.03,1.5963,0.6492,1.472
5/27/1999,1.0439,121.27,1.5957,0.6485,1.4755
5/28/1999,1.0422,120.88,1.602,0.6528,1.4725
6/1/1999,1.0449,120.75,1.615,0.6415,1.483
6/2/1999,1.0357,121.14,1.6075,0.6445,1.4805
6/3/1999,1.0355,121.5,1.6055,0.6477,1.4768
6/4/1999,1.0327,121.99,1.6074,0.6555,1.4696
6/7/1999,1.0296,121.31,1.601,0.6583,1.4735
6/8/1999,1.0438,119.88,1.605,0.6586,1.47
6/9/1999,1.045,119.2,1.6001,0.6585,1.4723
6/10/1999,1.0477,118.85,1.6002,0.6625,1.462
6/11/1999,1.0516,118.14,1.6085,0.6643,1.46
6/14/1999,1.0416,120.4,1.6075,0.663,1.4608
6/15/1999,1.042,120.63,1.595,0.658,1.4653
6/16/1999,1.0298,120.03,1.5862,0.6565,1.4585
6/17/1999,1.0329,119.47,1.5925,0.6575,1.461
6/18/1999,1.0368,120.48,1.5924,0.6533,1.4645
6/21/1999,1.0323,122.28,1.589,0.6508,1.4727
6/22/1999,1.0323,121.68,1.5895,0.6535,1.4705
6/23/1999,1.0316,122.05,1.5787,0.6568,1.4735
6/24/1999,1.0372,121.83,1.5833,0.6582,1.471
6/25/1999,1.0448,121.28,1.5893,0.6618,1.4642
6/28/1999,1.0373,121.3,1.5822,0.658,1.4695
6/29/1999,1.0337,120.81,1.5781,0.658,1.476
6/30/1999,1.031,120.94,1.5765,0.6611,1.4735
7/1/1999,1.0236,120.99,1.5765,0.6665,1.4693
7/2/1999,1.0244,121.13,1.5792,0.6703,1.4645
7/6/1999,1.0249,121.94,1.5688,0.6657,1.4685
7/7/1999,1.0224,122.19,1.5602,0.664,1.47
7/8/1999,1.0198,122.57,1.5577,0.6655,1.4698
7/9/1999,1.0186,122.37,1.5515,0.6645,1.4735
7/12/1999,1.0139,122.22,1.5558,0.662,1.4812
7/13/1999,1.0176,121.38,1.5566,0.6593,1.4828
7/14/1999,1.0215,120.58,1.5635,0.6592,1.4811
7/15/1999,1.022,120.49,1.5665,0.6626,1.4826
7/16/1999,1.0203,120.98,1.5622,0.6602,1.482
7/19/1999,1.0203,119.18,1.563,0.6515,1.4918
7/20/1999,1.042,118.94,1.57,0.6483,1.4915
7/21/1999,1.0526,118.25,1.5766,0.6475,1.5011
7/22/1999,1.0509,117.27,1.5835,0.6466,1.5025
7/23/1999,1.0497,116.51,1.578,0.648,1.5076
7/26/1999,1.0651,116.66,1.5905,0.6473,1.5102
7/27/1999,1.0627,116.23,1.5895,0.6443,1.5135
7/28/1999,1.0644,116.17,1.5935,0.6442,1.511
7/29/1999,1.0719,115.19,1.613,0.6495,1.5085
7/30/1999,1.0694,114.7,1.6207,0.6522,1.507
8/2/1999,1.0661,114.51,1.6145,0.65,1.5079
8/3/1999,1.068,115.1,1.6185,0.6535,1.4948
8/4/1999,1.0766,114.2,1.62,0.6585,1.4898
8/5/1999,1.0793,113.98,1.6198,0.6545,1.4947
