Mkt-RF,SMB,HML,SMALL LoBM-RF,ME1 BM2-RF,SMALL HiBM-RF,BIG LoBM-RF,ME2 BM2-RF,BIG HiBM-RF,RF
2.96,-2.3,-2.87,1.1524,0.6881,-0.2895,5.4968,1.7442,1.2022,0.22
2.64,-1.4,4.19,0.3595,1.2575,5.1342,2.4654,2.4338,6.0654,0.25
0.36,-1.32,0.01,-2.9079,-0.3659,-0.6674,1.1987,-0.1591,-1.0267,0.23
-3.24,0.04,0.51,-3.8565,-4.6772,-2.3312,-3.9098,-2.666,-4.417,0.32
2.53,-0.2,-0.35,2.811,3.3508,1.7844,2.8192,2.5865,3.1514,0.31
2.62,-0.04,-0.02,2.4564,1.5611,2.9839,2.6878,2.3267,2.115,0.28
-0.06,-0.56,4.83,-1.2501,-0.6282,3.6816,-0.5121,-0.2153,4.2135,0.25
4.18,-0.1,3.17,3.6422,6.1184,6.3592,4.7444,3.2968,8.3705,0.26
0.13,-1.6,-2.67,-1.9,-1.2889,-3.4676,1.0025,-0.0929,-2.7764,0.3
0.46,0.43,0.6,-1.5684,0.6241,3.2296,2.801,-1.0134,-0.7952,0.25
5.44,1.41,4.93,5.2482,3.0467,13.0256,5.1076,4.8017,7.1921,0.3
-2.34,0.47,-1.53,-1.8084,1.044,-4.2074,-1.2228,-3.2756,-1.8926,0.26
7.26,-3.23,-1.16,4.0331,4.9347,3.6846,8.9369,6.4429,6.9603,0.3
1.97,-0.72,-3.69,2.0703,-2.4844,0.58,3.6391,0.9381,-2.2451,0.28
4.76,-3.57,-0.71,2.1881,2.0216,0.189,5.1764,4.1819,5.7574,0.21
-4.31,2.13,-4.33,-0.4133,-2.3958,-6.0857,-3.8849,-4.534,-6.8719,0.25
6.58,2.76,-0.31,10.2246,7.852,10.0175,6.846,6.5576,6.4246,0.21
2.09,0.93,-1.06,5.3305,2.3816,2.2306,2.2754,1.6347,3.2555,0.22
-0.68,4.25,-0.72,2.9531,2.5304,3.3448,-0.7274,-0.6167,-2.5668,0.25
-1.7,-2.03,-0.69,-5.1213,-2.0503,-4.4571,-1.0062,-1.4695,-3.0596,0.33
8.81,-0.26,-1.2,7.103,8.3329,9.167,11.99,5.8427,7.5354,0.29
4.23,3.82,3.67,3.9958,10.4645,9.7523,2.6945,5.78,4.2779,0.22
1.52,2.98,-3.46,7.2126,1.634,2.254,2.2865,-0.4328,0.3188,0.32
-4.85,-3.5,-0.06,-8.8231,-8.6144,-7.1394,-3.9194,-4.4324,-5.7264,0.31
0.62,-1.35,-0.47,-0.7248,-0.7217,-1.2067,1.039,-0.2102,0.5817,0.32
6.68,-2.07,-2.11,5.804,4.7317,3.379,8.4168,5.0667,6.6268,0.32
2.88,2.18,0.76,5.4617,4.1838,5.9062,3.1408,1.6453,4.2196,0.27
1.33,2.27,-2.26,6.4199,2.7144,1.2521,0.949,1.0225,1.5967,0.41
11.81,-1.81,2.8,8.2905,10.8136,11.9031,10.7802,12.8981,12.7697,0.38
0.36,-0.85,-0.6,0.8455,-0.6553,-0.7062,0.8732,-0.0608,1.2317,0.06
4.66,-3.55,-1.21,-0.374,1.5979,1.108,6.1862,4.4973,2.2907,0.34
-0.34,-0.39,1.68,0.3814,0.7414,0.022,-0.9391,0.4706,2.7876,0.36
-0.89,-4.78,1.56,-6.2933,-3.8002,-4.4997,-1.7235,1.8698,-0.4042,0.34
1.43,-0.99,0.61,-0.4422,2.3949,0.1536,1.8572,0.7545,2.4762,0.36
-6.39,-5.46,-1.57,-10.6409,-9.8003,-13.3307,-6.1697,-4.6022,-6.6109,0.44
9.7,-2.17,-2.76,6.4473,8.9156,5.8864,11.9393,8.83,6.9852,0.52
4.46,-3.88,2.66,-0.3981,-1.0329,3.5333,3.2356,5.8718,4.6229,0.33
8.18,-9.52,0.06,-1.2885,-0.8641,-0.8544,6.872,12.143,6.5497,0.4
-5.47,1.17,-0.63,-4.6069,-4.6605,-3.9718,-4.7711,-5.3185,-6.6675,0.35
-20.12,-4.08,7.85,-22.1861,-19.7951,-20.2929,-24.6465,-14.5543,-10.8323,0.46
-12.74,-1.91,5.33,-16.7796,-10.2125,-12.7066,-14.6235,-11.3014,-8.0377,0.37
1.33,-4.2,-0.59,-3.1211,-3.0949,-2.2188,3.0288,0.1815,0.947,0.37
5.61,3.58,-1.01,6.0947,9.2995,8.3231,7.0335,3.1713,2.7821,0.14
2.5,0.12,0.39,1.0502,0.9075,4.0779,3.1639,1.5818,0.9221,0.3
7.1,3.44,0.15,8.6509,10.7161,10.4147,6.466,7.9848,5.0073,0.35
-2.06,-0.17,-0.84,-6.3056,-1.9506,-3.6914,-2.571,-2.0039,-6.8623,0.21
