4 Jan 1999 - 27 July 2018,EUR/USD,GBP/USD,AUD/USD,USD/CAD,USD/CHF,SP500,DGS10
1/4/99,1.1812,1.6581,0.6182,1.5268,1.3666,1228.099976,4.69
1/5/99,1.176,1.6566,0.6217,1.5213,1.3694,1244.780029,4.74
1/6/99,1.1636,1.6547,0.6285,1.511,1.3852,1272.339966,4.73
1/7/99,1.1672,1.6495,0.634,1.5117,1.3863,1269.72998,4.77
1/8/99,1.1554,1.6405,0.6326,1.5145,1.397,1275.089966,4.86
1/11/99,1.1534,1.6375,0.6395,1.5072,1.3963,1263.880005,4.9
1/12/99,1.1548,1.6308,0.6401,1.5095,1.389,1239.51001,4.82
1/13/99,1.1698,1.6493,0.631,1.53,1.3585,1234.400024,4.74
1/14/99,1.1689,1.653,0.6315,1.5285,1.3618,1212.189941,4.63
1/15/99,1.1591,1.65,0.634,1.529,1.3785,1243.26001,4.66
1/19/99,1.161,1.655,0.6385,1.5302,1.3752,1252,4.71
1/20/99,1.1575,1.6467,0.6398,1.5226,1.3902,1256.619995,4.76
1/21/99,1.1577,1.6516,0.6396,1.5155,1.3855,1235.160034,4.7
1/22/99,1.1582,1.656,0.6348,1.519,1.3829,1225.189941,4.64
1/25/99,1.1566,1.6563,0.6309,1.5153,1.3823,1233.97998,4.67
1/26/99,1.1577,1.6585,0.6305,1.52,1.387,1252.310059,4.69
1/27/99,1.1481,1.6485,0.6273,1.5215,1.4012,1243.170044,4.68
1/28/99,1.1395,1.647,0.6258,1.5263,1.4165,1265.369995,4.67
1/29/99,1.1371,1.6457,0.6297,1.5095,1.4168,1279.640015,4.66
2/1/99,1.1303,1.641,0.6336,1.5085,1.4232,1273,4.75
2/2/99,1.1328,1.643,0.6401,1.5124,1.4111,1261.98999,4.79
2/3/99,1.1339,1.6375,0.6415,1.5135,1.4135,1272.069946,4.83
2/4/99,1.1306,1.6395,0.649,1.493,1.417,1248.48999,4.89
2/5/99,1.1283,1.637,0.6517,1.488,1.4173,1239.400024,4.94
2/8/99,1.1296,1.638,0.652,1.4875,1.4175,1243.77002,4.94
2/9/99,1.13,1.6355,0.6468,1.4935,1.4183,1216.140015,4.91
2/10/99,1.1331,1.629,0.6453,1.4943,1.4083,1223.550049,4.9
2/11/99,1.1303,1.6244,0.6495,1.4889,1.4154,1254.040039,4.93
2/12/99,1.1282,1.6311,0.6463,1.4925,1.4157,1230.130005,5.06
2/16/99,1.1189,1.6317,0.638,1.5,1.429,1241.869995,5.03
2/17/99,1.123,1.6338,0.6336,1.4995,1.4247,1224.030029,4.98
2/18/99,1.1223,1.6338,0.635,1.4873,1.425,1237.280029,5.04
2/19/99,1.1075,1.6255,0.6375,1.4905,1.4462,1239.219971,5.07
2/22/99,1.1037,1.6238,0.64,1.4972,1.4483,1272.140015,5.03
2/23/99,1.0993,1.6138,0.6392,1.4975,1.4495,1271.180054,5.1
2/24/99,1.0972,1.598,0.6315,1.499,1.452,1253.410034,5.18
2/25/99,1.1068,1.606,0.6272,1.505,1.4345,1245.02002,5.32
2/26/99,1.0995,1.6027,0.6205,1.509,1.4495,1238.329956,5.29
3/1/99,1.0891,1.6058,0.6179,1.524,1.462,1236.160034,5.4
3/2/99,1.0931,1.6135,0.6205,1.52,1.4582,1225.5,5.35
3/3/99,1.0888,1.6134,0.623,1.5268,1.461,1227.699951,5.39
3/4/99,1.0824,1.6065,0.6242,1.5255,1.47,1246.640015,5.41
3/5/99,1.0843,1.6073,0.6285,1.5167,1.4686,1275.469971,5.34
3/8/99,1.0899,1.6085,0.6305,1.5145,1.4612,1282.72998,5.29
3/9/99,1.0873,1.6148,0.6357,1.5169,1.4675,1279.839966,5.18
3/10/99,1.0961,1.6267,0.635,1.524,1.4566,1286.839966,5.2
3/11/99,1.0932,1.627,0.6365,1.522,1.4685,1297.680054,5.21
3/12/99,1.0936,1.6335,0.636,1.5235,1.4608,1294.589966,5.16
3/15/99,1.093,1.6223,0.6315,1.5286,1.466,1307.26001,5.15
3/16/99,1.0915,1.624,0.626,1.5285,1.4665,1306.380005,5.11
3/17/99,1.1015,1.6302,0.6273,1.5222,1.4483,1297.819946,5.14
3/18/99,1.099,1.629,0.6301,1.5186,1.4534,1316.550049,5.11
3/19/99,1.0923,1.6303,0.6304,1.5158,1.462,1299.290039,5.17
3/22/99,1.0915,1.628,0.6336,1.5078,1.464,1297.01001,5.21
3/23/99,1.0918,1.6372,0.6382,1.5065,1.4586,1262.140015,5.2
3/24/99,1.0921,1.641,0.6394,1.504,1.4575,1268.589966,5.17
3/25/99,1.0871,1.6314,0.6363,1.5105,1.4681,1289.98999,5.21
3/26/99,1.0743,1.6205,0.6352,1.5135,1.4845,1282.800049,5.21
3/29/99,1.0716,1.614,0.6323,1.5125,1.4877,1310.170044,5.28
3/30/99,1.0732,1.6115,0.627,1.5125,1.489,1300.75,5.21
3/31/99,1.0808,1.614,0.634,1.5092,1.4775,1286.369995,5.25
4/1/99,1.0782,1.6063,0.6354,1.5023,1.481,1293.719971,5.27
4/5/99,1.0706,1.6015,0.6315,1.4972,1.4912,1321.119995,5.2
4/6/99,1.0838,1.592,0.628,1.5035,1.4725,1317.890015,5.13
4/7/99,1.0784,1.5975,0.6272,1.5005,1.4807,1326.890015,5.14
4/8/99,1.0835,1.6083,0.6244,1.4985,1.4724,1343.97998,5.03
4/9/99,1.0786,1.6068,0.6296,1.5023,1.4832,1348.349976,5.05
